SEED,TEAM,SEED,TEAM
1,Alabama,9,North Carolina St.
1,Houston,9,Illinois
5,San Diego St.,13,Southern Miss
12,Bradley,13,Utah Valley
11,Arizona St.,3,Marquette
11,Mississippi St.,3,Arizona
10,USC,2,Texas
10,Memphis,15,Eastern Washington
1,Purdue,9,Pittsburgh
1,Kansas,9,Rutgers
12,Iona,4,Connecticut
5,Saint Mary's,13,Hofstra
6,Creighton,3,Tennessee
11,Auburn,3,Gonzaga
15,Florida Atlantic,15, Vermont
10,West Virginia,2,UCLA
