SEED,TEAM,SEED,TEAM
9,North Carolina St.,5,San Diego St.
1,Houston,12,Bradley
3,Marquette,2,Texas
3,Arizona,10,Memphis
9,Pittsburgh,4,Connecticut
9,Rutgers,5,Saint Mary's
3,Tennessee,10,Florida Atlantic
3,Gonzaga,2,UCLA
